ConversationIDDataImpl,SpeakerDataImpl,StartTimeDataImpl,EndTimeDataImpl,PlainTextDataImpl,SplitJointWordsDialoguePreProcessorImpl,ExpandContractionsDialoguePreProcessorImpl,RemoveNumericCharactersDialoguePreProcessorImpl,RemoveEmailsDialoguePreProcessorImpl,RemovePunctuationDialoguePreProcessorImpl,LowercaseDialoguePreProcessorImpl,RemoveStopWordsDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl
20,0,800,806,And if he wants to transfer his plans over to I think you said bank of America are you as I can remember.,And if he wants to transfer his plans over to I think you said bank of America are you as I can remember.,And if he wants to transfer his plans over to I think you said bank of America are you as I can remember.,And if he wants to transfer his plans over to I think you said bank of America are you as I can remember.,And if he wants to transfer his plans over to I think you said bank of America are you as I can remember.,And if he wants to transfer his plans over to I think you said bank of America are you as I can remember,and if he wants to transfer his plans over to i think you said bank of america are you as i can remember,wants transfer plans think said bank america remember ,want transfer plan think say bank america remember 
20,1,813,816,,None,None,None,None,None,none,none ,none 
20,0,819,828,That once the card is activated and then he could you can just advise social security his banking account number and he could just I received his funds on that account and they just call us and get this account here close.,That once the card is activated and then he could you can just advise social security his banking account number and he could just I received his funds on that account and they just call us and get this account here close.,That once the card is activated and then he could you can just advise social security his banking account number and he could just I received his funds on that account and they just call us and get this account here close.,That once the card is activated and then he could you can just advise social security his banking account number and he could just I received his funds on that account and they just call us and get this account here close.,That once the card is activated and then he could you can just advise social security his banking account number and he could just I received his funds on that account and they just call us and get this account here close.,That once the card is activated and then he could you can just advise social security his banking account number and he could just I received his funds on that account and they just call us and get this account here close,that once the card is activated and then he could you can just advise social security his banking account number and he could just i received his funds on that account and they just call us and get this account here close,card activated could advise social security banking account number could received funds account call us get account close ,card activate could advise social security bank account number could receive fund account call us get account close 
20,1,838,845,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
20,0,852,859,All right well thank you guys so great.,All right well thank you guys so great.,All right well thank you guys so great.,All right well thank you guys so great.,All right well thank you guys so great.,All right well thank you guys so great,all right well thank you guys so great,right well thank guys great ,right well thank guy great 
20,1,866,875,One other question so if you doesn't call after you transfer those funds and if he doesn't close this to kill his future so security payments will continue to go to.,One other question so if you doesn't call after you transfer those funds and if he doesn't close this to kill his future so security payments will continue to go to.,One other question so if you does not call after you transfer those funds and if he does not close this to kill his future so security payments will continue to go to.,One other question so if you does not call after you transfer those funds and if he does not close this to kill his future so security payments will continue to go to.,One other question so if you does not call after you transfer those funds and if he does not close this to kill his future so security payments will continue to go to.,One other question so if you does not call after you transfer those funds and if he does not close this to kill his future so security payments will continue to go to,one other question so if you does not call after you transfer those funds and if he does not close this to kill his future so security payments will continue to go to,one question call transfer funds close kill future security payments continue go ,one question call transfer fund close kill future security payments continue go 
20,0,881,888,Know even if I can't even if the account is in close and he already transfer and he already told social security and he put his account and routing number with social security.,Know even if I can't even if the account is in close and he already transfer and he already told social security and he put his account and routing number with social security.,Know even if I can not even if the account is in close and he already transfer and he already told social security and he put his account and routing number with social security.,Know even if I can not even if the account is in close and he already transfer and he already told social security and he put his account and routing number with social security.,Know even if I can not even if the account is in close and he already transfer and he already told social security and he put his account and routing number with social security.,Know even if I can not even if the account is in close and he already transfer and he already told social security and he put his account and routing number with social security,know even if i can not even if the account is in close and he already transfer and he already told social security and he put his account and routing number with social security,know even even account close already transfer already told social security put account routing number social security ,know even even account close already transfer already tell social security put account rout number social security 
20,1,890,892,It.,It.,It.,It.,It.,It,it,,
20,0,897,904,It won't come to this account he does not have to close this account but you know I just it was just something to offer to close.,It won't come to this account he does not have to close this account but you know I just it was just something to offer to close.,It will not come to this account he does not have to close this account but you know I just it was just something to offer to close.,It will not come to this account he does not have to close this account but you know I just it was just something to offer to close.,It will not come to this account he does not have to close this account but you know I just it was just something to offer to close.,It will not come to this account he does not have to close this account but you know I just it was just something to offer to close,it will not come to this account he does not have to close this account but you know i just it was just something to offer to close,come account close account know something offer close ,come account close account know something offer close 
20,1,909,917,I appreciate it.,I appreciate it.,I appreciate it.,I appreciate it.,I appreciate it.,I appreciate it,i appreciate it,appreciate ,appreciate 
20,0,923,932,You're welcome.,You're welcome.,You're welcome.,You're welcome.,You're welcome.,Youre welcome,youre welcome,youre welcome ,youre welcome 
20,1,936,938,You've been very helpful thank you very much.,You've been very helpful thank you very much.,You've been very helpful thank you very much.,You've been very helpful thank you very much.,You've been very helpful thank you very much.,Youve been very helpful thank you very much,youve been very helpful thank you very much,youve helpful thank much ,youve helpful thank much 
20,0,942,947,You're welcome you guys have a great day.,You're welcome you guys have a great day.,You're welcome you guys have a great day.,You're welcome you guys have a great day.,You're welcome you guys have a great day.,Youre welcome you guys have a great day,youre welcome you guys have a great day,youre welcome guys great day ,youre welcome guy great day 
20,1,953,957,You too.,You too.,You too.,You too.,You too.,You too,you too,,
21,2,1,10,Say for calling Derek these press card services my name is Brittany how my hoping.,Say for calling Derek these press card services my name is Brittany how my hoping.,Say for calling Derek these press card services my name is Brittany how my hoping.,Say for calling Derek these press card services my name is Brittany how my hoping.,Say for calling Derek these press card services my name is Brittany how my hoping.,Say for calling Derek these press card services my name is Brittany how my hoping,say for calling derek these press card services my name is brittany how my hoping,say calling derek press card services name brittany hoping ,say call derek press card service name brittany hop 
21,1,17,18,Yeah I just got a new car.,Yeah I just got a new car.,Yeah I just got a new car.,Yeah I just got a new car.,Yeah I just got a new car.,Yeah I just got a new car,yeah i just got a new car,yeah got new car ,yeah get new car 
21,2,20,21,We need to do anything.,We need to do anything.,We need to do anything.,We need to do anything.,We need to do anything.,We need to do anything,we need to do anything,need anything ,need anything 
21,1,26,32,Up I put the pin on.,Up I put the pin on.,Up I put the pin on.,Up I put the pin on.,Up I put the pin on.,Up I put the pin on,up i put the pin on,put pin ,put pin 
21,2,36,45,My problem be more than happy to assist you with this today can I have your first and last name please.,My problem be more than happy to assist you with this today can I have your first and last name please.,My problem be more than happy to assist you with this today can I have your first and last name please.,My problem be more than happy to assist you with this today can I have your first and last name please.,My problem be more than happy to assist you with this today can I have your first and last name please.,My problem be more than happy to assist you with this today can I have your first and last name please,my problem be more than happy to assist you with this today can i have your first and last name please,problem happy assist today first last name please ,problem happy assist today first last name please 
21,1,52,59,The tone I'm not.,The tone I'm not.,The tone I'm not.,The tone I'm not.,The tone I'm not.,The tone Im not,the tone im not,tone im ,tone im 
21,2,64,67,Thank you and the last four record number.,Thank you and the last four record number.,Thank you and the last four record number.,Thank you and the last #  record number.,Thank you and the last #  record number.,Thank you and the last   record number,thank you and the last   record number,thank last record number ,thank last record number 
21,2,69,73,,None,None,None,None,None,none,none ,none 
21,1,76,80,Zero seven five two.,Zero seven five two.,Zero seven five two.,Zero #  #  # .,Zero #  #  # .,Zero      ,zero      ,zero  ,zero 
21,2,82,88,Thank you no I would first like to take a minute to share some important information with you.,Thank you no I would first like to take a minute to share some important information with you.,Thank you no I would first like to take a minute to share some important information with you.,Thank you no I would first like to take a minute to share some important information with you.,Thank you no I would first like to take a minute to share some important information with you.,Thank you no I would first like to take a minute to share some important information with you,thank you no i would first like to take a minute to share some important information with you,thank would first like take minute share important information ,thank would first like take minute share important information 
21,2,93,103,We want to thank you and extend a warm welcome to you for being a part of the direct express program we have updated our systems to provide you with better service and as always you can use your card wherever master cards are accepted this includes making purchases setting up automatic bill payments and ATM withdrawals some of the new features that I had to express feature allows you to go to any Walmart location axis cash from your card without making a purchase for just a dollar fifty C. you can enjoy the new car hard a websites access required information check your balance view and print transactions and make changes to your personal information you may also set up alerts notifying you of a posted deposit low balance transaction activity and change your pin as well our website is U. S. direct express dot com also you can confirm it's giving you could perform very sexy to using our automated phone system such as card activation pin change balancing curry and listen to the transaction details our friendly agents are also available to help you twenty four seven incoming phone is our mobile app no I do have your account here in front of me would you like to add a mobile phone number to the account.,We want to thank you and extend a warm welcome to you for being a part of the direct express program we have updated our systems to provide you with better service and as always you can use your card wherever master cards are accepted this includes making purchases setting up automatic bill payments and ATM withdrawals some of the new features that I had to express feature allows you to go to any Walmart location axis cash from your card without making a purchase for just a dollar fifty C. you can enjoy the new car hard a websites access required information check your balance view and print transactions and make changes to your personal information you may also set up alerts notifying you of a posted deposit low balance transaction activity and change your pin as well our website is U. S. direct express dot com also you can confirm it's giving you could perform very sexy to using our automated phone system such as card activation pin change balancing curry and listen to the transaction details our friendly agents are also available to help you twenty four seven incoming phone is our mobile app no I do have your account here in front of me would you like to add a mobile phone number to the account.,We want to thank you and extend a warm welcome to you for being a part of the direct express program we have updated our systems to provide you with better service and as always you can use your card wherever master cards are accepted this includes making purchases setting up automatic bill payments and ATM withdrawals some of the new features that I had to express feature allows you to go to any Walmart location axis cash from your card without making a purchase for just a dollar fifty C. you can enjoy the new car hard a websites access required information check your balance view and print transactions and make changes to your personal information you may also set up alerts notifying you of a posted deposit low balance transaction activity and change your pin as well our website is U. S. direct express dot com also you can confirm it is giving you could perform very sexy to using our automated phone system such as card activation pin change balancing curry and listen to the transaction details our friendly agents are also available to help you twenty four seven incoming phone is our mobile app no I do have your account here in front of me would you like to add a mobile phone number to the account.,We want to thank you and extend a warm welcome to you for being a part of the direct express program we have updated our systems to provide you with better service and as always you can use your card wherever master cards are accepted this includes making purchases setting up automatic bill payments and ATM withdrawals some of the new features that I had to express feature allows you to go to any Walmart location axis cash from your card without making a purchase for just a dollar #  C. you can enjoy the new car hard a websites access required information check your balance view and print transactions and make changes to your personal information you #  also set up alerts notifying you of a posted deposit low balance transaction activity and change your pin as well our website is U. S. direct express dot com also you can confirm it is giving you could perform very sexy to using our automated phone system such as card activation pin change balancing curry and listen to the transaction details our friendly agents are also available to help you #  #  #  incoming phone is our mobile app no I do have your account here in front of me would you like to add a mobile phone number to the account.,We want to thank you and extend a warm welcome to you for being a part of the direct express program we have updated our systems to provide you with better service and as always you can use your card wherever master cards are accepted this includes making purchases setting up automatic bill payments and ATM withdrawals some of the new features that I had to express feature allows you to go to any Walmart location axis cash from your card without making a purchase for just a dollar #  C. you can enjoy the new car hard a websites access required information check your balance view and print transactions and make changes to your personal information you #  also set up alerts notifying you of a posted deposit low balance transaction activity and change your pin as well our website is U. S. direct @  also you can confirm it is giving you could perform very sexy to using our automated phone system such as card activation pin change balancing curry and listen to the transaction details our friendly agents are also available to help you #  #  #  incoming phone is our mobile app no I do have your account here in front of me would you like to add a mobile phone number to the account.,We want to thank you and extend a warm welcome to you for being a part of the direct express program we have updated our systems to provide you with better service and as always you can use your card wherever master cards are accepted this includes making purchases setting up automatic bill payments and ATM withdrawals some of the new features that I had to express feature allows you to go to any Walmart location axis cash from your card without making a purchase for just a dollar   C you can enjoy the new car hard a websites access required information check your balance view and print transactions and make changes to your personal information you   also set up alerts notifying you of a posted deposit low balance transaction activity and change your pin as well our website is U S direct   also you can confirm it is giving you could perform very sexy to using our automated phone system such as card activation pin change balancing curry and listen to the transaction details our friendly agents are also available to help you       incoming phone is our mobile app no I do have your account here in front of me would you like to add a mobile phone number to the account,we want to thank you and extend a warm welcome to you for being a part of the direct express program we have updated our systems to provide you with better service and as always you can use your card wherever master cards are accepted this includes making purchases setting up automatic bill payments and atm withdrawals some of the new features that i had to express feature allows you to go to any walmart location axis cash from your card without making a purchase for just a dollar   c you can enjoy the new car hard a websites access required information check your balance view and print transactions and make changes to your personal information you   also set up alerts notifying you of a posted deposit low balance transaction activity and change your pin as well our website is u s direct   also you can confirm it is giving you could perform very sexy to using our automated phone system such as card activation pin change balancing curry and listen to the transaction details our friendly agents are also available to help you       incoming phone is our mobile app no i do have your account here in front of me would you like to add a mobile phone number to the account,want thank extend warm welcome part direct express program updated systems provide better service always use card wherever master cards accepted includes making purchases setting automatic bill payments atm withdrawals new features express feature allows go walmart location axis cash card without making purchase dollar c enjoy new car hard websites access required information check balance view print transactions make changes personal information also set alerts notifying posted deposit low balance transaction activity change pin well website u direct also confirm giving could perform sexy using automated phone system card activation pin change balancing curry listen transaction details friendly agents also available help incoming phone mobile app account front would like add mobile phone number account ,want thank extend warm welcome part direct express program update systems provide better service always use card wherever master card accept include make purchase set automatic bill payments atm withdrawals new feature express feature allow go walmart location axis cash card without make purchase dollar c enjoy new car hard websites access require information check balance view print transactions make change personal information also set alert notify post deposit low balance transaction activity change pin well website u direct also confirm give could perform sexy use automate phone system card activation pin change balance curry listen transaction detail friendly agents also available help incoming phone mobile app account front would like add mobile phone number account 
21,1,105,115,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,yes,yes ,yes 
21,2,121,129,All right and what is the phone number that you like to add to the account.,All right and what is the phone number that you like to add to the account.,All right and what is the phone number that you like to add to the account.,All right and what is the phone number that you like to add to the account.,All right and what is the phone number that you like to add to the account.,All right and what is the phone number that you like to add to the account,all right and what is the phone number that you like to add to the account,right phone number like add account ,right phone number like add account 
21,1,130,139,Eight one eight nine one five nine eight zero six.,Eight one eight nine one five nine eight zero six.,Eight one eight nine one five nine eight zero six.,Eight #  #  #  #  #  #  #  zero # .,Eight #  #  #  #  #  #  #  zero # .,Eight               zero  ,eight               zero  ,eight zero  ,eight zero 
21,2,140,146,Thank you would you like to add an email adjusted to the account as well.,Thank you would you like to add an email adjusted to the account as well.,Thank you would you like to add an email adjusted to the account as well.,Thank you would you like to add an email adjusted to the account as well.,Thank you would you like to add an email adjusted to the account as well.,Thank you would you like to add an email adjusted to the account as well,thank you would you like to add an email adjusted to the account as well,thank would like add email adjusted account well ,thank would like add email adjust account well 
21,1,148,155,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,yes,yes ,yes 
21,2,156,160,Okay what's your.,Okay what's your.,Okay what is your.,Okay what is your.,Okay what is your.,Okay what is your,okay what is your,okay ,okay 
21,1,167,172,My whole name me too and I'm not it yeah who dot com.,My whole name me too and I'm not it yeah who dot com.,My whole name me too and I'm not it yeah who dot com.,My whole name me too and I'm not it yeah who dot com.,My whole name me too and I'm not it yeah @ .,My whole name me too and Im not it yeah  ,my whole name me too and im not it yeah  ,whole name im yeah  ,whole name im yeah 
21,2,173,182,Thank you.,Thank you.,Thank you.,Thank you.,Thank you.,Thank you,thank you,thank ,thank 
21,2,186,191,All right and I have Madonna New York at Yahoo dot com.,All right and I have Madonna New York at Yahoo dot com.,All right and I have Madonna New York at Yahoo dot com.,All right and I have Madonna New York at Yahoo dot com.,All right and I have Madonna New York at @ .,All right and I have Madonna New York at  ,all right and i have madonna new york at  ,right madonna new york  ,right madonna new york 
21,1,195,199,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,yes,yes ,yes 
21,2,207,212,All right so I did go ahead and get that information at it no I do wanna let you know about the balance alerts that we have with the balance alerts they can come either via text message or via email would you like to sign up for one of those today.,All right so I did go ahead and get that information at it no I do wanna let you know about the balance alerts that we have with the balance alerts they can come either via text message or via email would you like to sign up for one of those today.,All right so I did go ahead and get that information at it no I do wanna let you know about the balance alerts that we have with the balance alerts they can come either via text message or via email would you like to sign up for one of those today.,All right so I did go ahead and get that information at it no I do wanna let you know about the balance alerts that we have with the balance alerts they can come either via text message or via email would you like to sign up for #  of those today.,All right so I did go ahead and get that information at it no I do wanna let you know about the balance alerts that we have with the balance alerts they can come either via text message or via email would you like to sign up for #  of those today.,All right so I did go ahead and get that information at it no I do wanna let you know about the balance alerts that we have with the balance alerts they can come either via text message or via email would you like to sign up for   of those today,all right so i did go ahead and get that information at it no i do wanna let you know about the balance alerts that we have with the balance alerts they can come either via text message or via email would you like to sign up for   of those today,right go ahead get information wanna let know balance alerts balance alerts come either via text message via email would like sign today ,right go ahead get information wanna let know balance alert balance alert come either via text message via email would like sign today 
21,2,222,227,,None,None,None,None,None,none,none ,none 
21,1,234,244,No not really.,No not really.,No not really.,No not really.,No not really.,No not really,no not really,really ,really 
21,1,249,256,All right.,All right.,All right.,All right.,All right.,All right,all right,right ,right 
21,2,266,276,No problem thank you.,No problem thank you.,No problem thank you.,No problem thank you.,No problem thank you.,No problem thank you,no problem thank you,problem thank ,problem thank 
21,2,279,287,So the live stuff with all the information for from the verified here during the phone call is there anything else will be to assist you with today.,So the live stuff with all the information for from the verified here during the phone call is there anything else will be to assist you with today.,So the live stuff with all the information for from the verified here during the phone call is there anything else will be to assist you with today.,So the live stuff with all the information for from the verified here during the phone call is there anything else will be to assist you with today.,So the live stuff with all the information for from the verified here during the phone call is there anything else will be to assist you with today.,So the live stuff with all the information for from the verified here during the phone call is there anything else will be to assist you with today,so the live stuff with all the information for from the verified here during the phone call is there anything else will be to assist you with today,live stuff information verified phone call anything else assist today ,live stuff information verify phone call anything else assist today 
21,1,291,299,No that's all or.,No that's all or.,No that is all or.,No that is all or.,No that is all or.,No that is all or,no that is all or,,
21,1,302,311,Does it let me know that every month so so security code put the money for me yes in this copy.,Does it let me know that every month so so security code put the money for me yes in this copy.,Does it let me know that every month so so security code put the money for me yes in this copy.,Does it let me know that every month so so security code put the money for me yes in this copy.,Does it let me know that every month so so security code put the money for me yes in this copy.,Does it let me know that every month so so security code put the money for me yes in this copy,does it let me know that every month so so security code put the money for me yes in this copy,let know every month security code put money yes copy ,let know every month security code put money yes copy 
21,2,321,322,They're supposed to but as far as if they will or won't I wouldn't have that information as a result of this security administration.,They're supposed to but as far as if they will or won't I wouldn't have that information as a result of this security administration.,They're supposed to but as far as if they will or will not I would not have that information as a result of this security administration.,They're supposed to but as far as if they will or will not I would not have that information as a result of this security administration.,They're supposed to but as far as if they will or will not I would not have that information as a result of this security administration.,Theyre supposed to but as far as if they will or will not I would not have that information as a result of this security administration,theyre supposed to but as far as if they will or will not i would not have that information as a result of this security administration,theyre supposed far would information result security administration ,theyre suppose far would information result security administration 
21,1,328,330,Oh okay but I don't see it I had to call the you will call the closest realty yes.,Oh okay but I don't see it I had to call the you will call the closest realty yes.,Oh okay but I do not see it I had to call the you will call the closest realty yes.,Oh okay but I do not see it I had to call the you will call the closest realty yes.,Oh okay but I do not see it I had to call the you will call the closest realty yes.,Oh okay but I do not see it I had to call the you will call the closest realty yes,oh okay but i do not see it i had to call the you will call the closest realty yes,oh okay see call call closest realty yes ,oh okay see call call closest realty yes 
21,2,338,348,You apostles security yes.,You apostles security yes.,You apostles security yes.,You apostles security yes.,You apostles security yes.,You apostles security yes,you apostles security yes,apostles security yes ,apostles security yes 
21,1,353,362,Yes okay I appreciate that thank you so much for your help.,Yes okay I appreciate that thank you so much for your help.,Yes okay I appreciate that thank you so much for your help.,Yes okay I appreciate that thank you so much for your help.,Yes okay I appreciate that thank you so much for your help.,Yes okay I appreciate that thank you so much for your help,yes okay i appreciate that thank you so much for your help,yes okay appreciate thank much help ,yes okay appreciate thank much help 
21,2,366,373,No problem and thank you for calling have a great day okay.,No problem and thank you for calling have a great day okay.,No problem and thank you for calling have a great day okay.,No problem and thank you for calling have a great day okay.,No problem and thank you for calling have a great day okay.,No problem and thank you for calling have a great day okay,no problem and thank you for calling have a great day okay,problem thank calling great day okay ,problem thank call great day okay 
21,1,381,384,Bye bye.,Bye bye.,Bye bye.,Bye bye.,Bye bye.,Bye bye,bye bye,bye bye ,bye bye 
22,0,1,2,Thank you for calling direct express card services this is Mercedes how may I help you.,Thank you for calling direct express card services this is Mercedes how may I help you.,Thank you for calling direct express card services this is Mercedes how may I help you.,Thank you for calling direct express card services this is Mercedes how #  I help you.,Thank you for calling direct express card services this is Mercedes how #  I help you.,Thank you for calling direct express card services this is Mercedes how   I help you,thank you for calling direct express card services this is mercedes how   i help you,thank calling direct express card services mercedes help ,thank call direct express card service mercedes help 
22,1,8,17,Hi I was gonna say my deposit hasn't gone through yet it says pending.,Hi I was gonna say my deposit hasn't gone through yet it says pending.,Hi I was gonna say my deposit has not gone through yet it says pending.,Hi I was gonna say my deposit has not gone through yet it says pending.,Hi I was gonna say my deposit has not gone through yet it says pending.,Hi I was gonna say my deposit has not gone through yet it says pending,hi i was gonna say my deposit has not gone through yet it says pending,hi gonna say deposit gone yet says pending ,hi gonna say deposit go yet say pending 
22,0,20,30,May I have the last four digits of your card number please.,May I have the last four digits of your card number please.,May I have the last four digits of your card number please.,May I have the last #  digits of your card number please.,May I have the last #  digits of your card number please.,May I have the last   digits of your card number please,may i have the last   digits of your card number please,may last digits card number please ,may last digits card number please 
22,1,39,47,,None,None,None,None,None,none,none ,none 
22,1,53,62,Nine ninety six.,Nine ninety six.,Nine ninety six.,Nine #  # .,Nine #  # .,Nine    ,nine    ,nine  ,nine 
22,0,65,69,Your first and last name.,Your first and last name.,Your first and last name.,Your first and last name.,Your first and last name.,Your first and last name,your first and last name,first last name ,first last name 
22,1,71,77,Donna Karan.,Donna Karan.,Donna Karan.,Donna Karan.,Donna Karan.,Donna Karan,donna karan,donna karan ,donna karan 
22,0,80,89,The in the last four of your social please.,The in the last four of your social please.,The in the last four of your social please.,The in the last #  of your social please.,The in the last #  of your social please.,The in the last   of your social please,the in the last   of your social please,last social please ,last social please 
22,1,97,98,Eight three six four.,Eight three six four.,Eight three six four.,Eight #  #  # .,Eight #  #  # .,Eight      ,eight      ,eight  ,eight 
22,0,104,114,Thank you miss macleod let's see.,Thank you miss macleod let's see.,Thank you miss macleod let us see.,Thank you miss macleod let us see.,Thank you miss macleod let us see.,Thank you miss macleod let us see,thank you miss macleod let us see,thank miss macleod let us see ,thank miss macleod let us see 
22,0,118,124,No you're fine I see that it's logged is probably still I would say check around eight o'clock in the morning but it would probably come on sometime before then but thinking that's probably just what it is.,No you're fine I see that it's logged is probably still I would say check around eight o'clock in the morning but it would probably come on sometime before then but thinking that's probably just what it is.,No you are fine I see that it is logged is probably still I would say check around eight of the clock in the morning but it would probably come on sometime before then but thinking that is probably just what it is.,No you are fine I see that it is logged is probably still I would say check around #  of the clock in the morning but it would probably come on sometime before then but thinking that is probably just what it is.,No you are fine I see that it is logged is probably still I would say check around #  of the clock in the morning but it would probably come on sometime before then but thinking that is probably just what it is.,No you are fine I see that it is logged is probably still I would say check around   of the clock in the morning but it would probably come on sometime before then but thinking that is probably just what it is,no you are fine i see that it is logged is probably still i would say check around   of the clock in the morning but it would probably come on sometime before then but thinking that is probably just what it is,fine see logged probably still would say check around clock morning would probably come sometime thinking probably ,fine see log probably still would say check around clock morning would probably come sometime think probably 
22,0,133,136,It prior I'm not I don't think that it hits at midnight exactly I think it might come like over you know over the night because in my time is still eleven forty two.,It prior I'm not I don't think that it hits at midnight exactly I think it might come like over you know over the night because in my time is still eleven forty two.,It prior I'm not I do not think that it hits at midnight exactly I think it might come like over you know over the night because in my time is still eleven forty two.,It prior I'm not I do not think that it hits at midnight exactly I think it might come like over you know over the night because in my time is still #  #  # .,It prior I'm not I do not think that it hits at midnight exactly I think it might come like over you know over the night because in my time is still #  #  # .,It prior Im not I do not think that it hits at midnight exactly I think it might come like over you know over the night because in my time is still      ,it prior im not i do not think that it hits at midnight exactly i think it might come like over you know over the night because in my time is still      ,prior im think hits midnight exactly think might come like know night time still  ,prior im think hit midnight exactly think might come like know night time still 
22,1,142,147,Yeah I got you so maybe it.,Yeah I got you so maybe it.,Yeah I got you so maybe it.,Yeah I got you so maybe it.,Yeah I got you so maybe it.,Yeah I got you so maybe it,yeah i got you so maybe it,yeah got maybe ,yeah get maybe 
22,0,156,165,Yeah I would say just check around eight in the morning but it'd probably be only before then I would say.,Yeah I would say just check around eight in the morning but it'd probably be only before then I would say.,Yeah I would say just check around eight in the morning but it would probably be only before then I would say.,Yeah I would say just check around #  in the morning but it would probably be only before then I would say.,Yeah I would say just check around #  in the morning but it would probably be only before then I would say.,Yeah I would say just check around   in the morning but it would probably be only before then I would say,yeah i would say just check around   in the morning but it would probably be only before then i would say,yeah would say check around morning would probably would say ,yeah would say check around morning would probably would say 
22,1,167,173,Four or five.,Four or five.,Four or five.,Four or # .,Four or # .,Four or  ,four or  ,four  ,four 
22,1,183,185,All right well okay.,All right well okay.,All right well okay.,All right well okay.,All right well okay.,All right well okay,all right well okay,right well okay ,right well okay 
22,0,194,198,Was there anything else I could assist you with this quote.,Was there anything else I could assist you with this quote.,Was there anything else I could assist you with this quote.,Was there anything else I could assist you with this quote.,Was there anything else I could assist you with this quote.,Was there anything else I could assist you with this quote,was there anything else i could assist you with this quote,anything else could assist quote ,anything else could assist quote 
22,1,203,207,Nope that's it and I also wanted to set up the notification so I could take a message.,Nope that's it and I also wanted to set up the notification so I could take a message.,Nope that is it and I also wanted to set up the notification so I could take a message.,Nope that is it and I also wanted to set up the notification so I could take a message.,Nope that is it and I also wanted to set up the notification so I could take a message.,Nope that is it and I also wanted to set up the notification so I could take a message,nope that is it and i also wanted to set up the notification so i could take a message,nope also wanted set notification could take message ,nope also want set notification could take message 
22,0,217,221,Okay hang on I can go ahead and set that up for you.,Okay hang on I can go ahead and set that up for you.,Okay hang on I can go ahead and set that up for you.,Okay hang on I can go ahead and set that up for you.,Okay hang on I can go ahead and set that up for you.,Okay hang on I can go ahead and set that up for you,okay hang on i can go ahead and set that up for you,okay hang go ahead set ,okay hang go ahead set 
22,0,222,232,May I get you to verify your phone number for me.,May I get you to verify your phone number for me.,May I get you to verify your phone number for me.,May I get you to verify your phone number for me.,May I get you to verify your phone number for me.,May I get you to verify your phone number for me,may i get you to verify your phone number for me,may get verify phone number ,may get verify phone number 
22,1,237,247,Four seven eight nine six one six.,Four seven eight nine six one six.,Four seven eight nine six one six.,Four #  #  #  #  #  # .,Four #  #  #  #  #  # .,Four            ,four            ,four  ,four 
22,0,257,264,C..,C..,C..,C..,C..,C,c,c ,c 
22,0,270,277,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
22,0,281,283,And you set those up for you.,And you set those up for you.,And you set those up for you.,And you set those up for you.,And you set those up for you.,And you set those up for you,and you set those up for you,set ,set 
22,0,286,294,,None,None,None,None,None,none,none ,none 
22,0,304,310,Okay give me a minute or two while I set these up real quick.,Okay give me a minute or two while I set these up real quick.,Okay give me a minute or two while I set these up real quick.,Okay give me a minute or #  while I set these up real quick.,Okay give me a minute or #  while I set these up real quick.,Okay give me a minute or   while I set these up real quick,okay give me a minute or   while i set these up real quick,okay give minute set real quick ,okay give minute set real quick 
22,1,315,316,Well.,Well.,Well.,Well.,Well.,Well,well,well ,well 
22,0,317,321,Okay miss macleod I went and got those all those notification set up for you was there anything else I can help you with.,Okay miss macleod I went and got those all those notification set up for you was there anything else I can help you with.,Okay miss macleod I went and got those all those notification set up for you was there anything else I can help you with.,Okay miss macleod I went and got those all those notification set up for you was there anything else I can help you with.,Okay miss macleod I went and got those all those notification set up for you was there anything else I can help you with.,Okay miss macleod I went and got those all those notification set up for you was there anything else I can help you with,okay miss macleod i went and got those all those notification set up for you was there anything else i can help you with,okay miss macleod went got notification set anything else help ,okay miss macleod go get notification set anything else help 
22,0,327,332,All right thank you for calling direct express card services basically you have a great night.,All right thank you for calling direct express card services basically you have a great night.,All right thank you for calling direct express card services basically you have a great night.,All right thank you for calling direct express card services basically you have a great night.,All right thank you for calling direct express card services basically you have a great night.,All right thank you for calling direct express card services basically you have a great night,all right thank you for calling direct express card services basically you have a great night,right thank calling direct express card services basically great night ,right thank call direct express card service basically great night 
